,combo,hsa_tmle r^2,hsa_js r^2,add_js r^2,hsa_tmle msd,hsa_js msd,add_js msd
16,"Bevacizumab + fluorouracil, irinotecan, leucovorin, oxaliplatin",-1.3874500814659436,-4.39380081481171,-2.0301216583433406,-0.29043445408295804,-0.4839043583829799,-0.36078135838297987
17,"Bevacizumab, irinotecan + fluorouracil, leucovorin, oxaliplatin",0.18941469168583103,-1.5335330270235201,0.1439936114271667,-0.16245545260204258,-0.3359862841057368,-0.14183436410573688
18,"Bevacizumab, fluorouracil, leucovorin, oxaliplatin + irinotecan",0.07500672527884544,-0.4234278545531487,0.6113335901106345,-0.1930093405946395,-0.23846895838298005,-0.02391327838298015
19,"Bevacizumab + fluorouracil, leucovorin",0.6675505688339867,0.7302632346540442,0.7570347386251947,0.10915936335093802,-0.09430201646035993,0.05394494353963995
20,"Bevacizumab + fluorouracil, leucovorin, oxaliplatin",0.7226613447789818,-0.5286177183712726,0.26548206851956113,-0.10239783521220781,-0.2775581632152096,-0.1595510032152097
21,Bevacizumab + irinotecan,0.8458106358854964,0.06940495385983159,0.7098425543203224,0.04962393369183157,-0.200580155595158,-0.015922355595158054
22,Bevacizumab + tipiracil_trifluridine,0.2769107460521787,-0.230191038761687,0.5491316234154144,-0.1902645077592109,-0.2421843951554354,0.032546964844564354
23,"Capecitabine + fluorouracil, leucovorin, oxaliplatin",0.5565351837493604,0.5549131978649093,0.42047771513920085,0.06040676382486691,-0.029415043755256647,0.08361535624474324
24,"Capecitabine, oxaliplatin + fluorouracil, leucovorin",-0.8205857696054801,0.5335056941552216,0.33146998996445287,0.17883124142113507,-0.035556106210825736,0.10720637378917414
25,"Cetuximab, irinotecan + fluorouracil, leucovorin",0.7593885353946705,0.3466481569446648,0.8212696316718531,-0.08880597344231182,-0.1613349935645044,0.019307206435495466
26,"Fluorouracil, leucovorin + irinotecan",0.8293565917526545,0.3334913656604521,0.8277805205567641,-0.06770996377486452,-0.16594300731704753,0.015689392682952358
27,"Fluorouracil, leucovorin, oxaliplatin + irinotecan",-0.42303066981817805,0.7375415566371797,0.1477041886503293,-0.25023919883173573,0.014177781409179368,0.16157242140917932
28,"Fluorouracil, leucovorin + irinotecan, panitumumab",0.6979627569520783,0.09499968606321063,0.7503452709976579,-0.08353681235521186,-0.15685911973066913,0.07232232026933075
29,"Fluorouracil, irinotecan, leucovorin + panitumumab",0.8619026339106322,0.6687550045868373,0.6895343833351385,-0.0017598887529658228,-0.10779139769339331,0.04680700230660653
30,"Fluorouracil, leucovorin, oxaliplatin + panitumumab",0.8761063701644504,0.8008650991031959,0.4621837338829182,0.021584274048449252,-0.060608473920310324,0.0877476460796896
31,Irinotecan + panitumumab,0.5186976861919337,0.8465697817012716,0.27863249017335,0.12236981141502368,-0.07067087014514763,0.12403596985485232
